,Chiral_indice_n,Chiracl_indice_m,Initial_atomic_coordinate_u,Initial_atomic_coordinate_v,Initial_atomic_coordinate_w,Calculated_atomic_coordinate_u,Calculated_atomic_coordiante_v,Calculated_atomic_coordinate_w
0,2,1,679005,701318,17033,721039,730232,17014
1,2,1,717298,642129,231319,738414,65675,232369
2,2,1,489336,303751,88462,477676,263221,88712
3,2,1,413957,632996,40843,408823,657897,39796
4,2,1,334292,543401,15989,303349,558807,157373
5,2,1,510664,696249,255128,496977,725608,25597
6,2,1,413957,632996,374176,390878,657645,374735
7,2,1,712552,55479,112271,750056,561494,114944
8,2,1,320995,298682,1837,281301,261433,182779
9,2,1,394742,279367,302747,35086,2335,302196
10,2,1,282702,357871,397985,229138,328729,398581
11,2,1,320995,298682,517033,278752,269615,51733
12,2,1,605258,720633,469414,613415,760009,469452
13,2,1,510664,696249,588462,521991,736991,588946
14,2,1,679005,701318,6837,718811,738577,68244
15,2,1,605258,720633,802747,649178,766301,80193
16,2,1,665708,456599,326557,680389,444562,327502
17,2,1,712552,55479,445605,737216,552056,443517
18,2,1,586043,367004,540843,591153,342069,540172
19,2,1,665708,456599,65989,697242,441516,657521
20,2,1,287448,44521,612271,249571,438057,614939
21,2,1,282702,357871,731319,262916,343512,732213
22,2,1,334292,543401,826557,320053,555754,827503
23,2,1,287448,44521,945605,262054,44817,943402
24,2,1,717298,642129,897985,770521,670869,898389
25,2,1,489336,303751,755128,50356,27443,75629
26,2,1,586043,367004,874176,609,342123,875088
27,2,1,394742,279367,969414,385666,240071,969157
28,3,1,591598,760361,5909,59912,779052,58651
29,3,1,24301,424391,20628,222068,414703,20882
30,3,1,348135,611237,84731,337437,618899,85676
31,3,1,300826,550669,174474,287789,556575,174486
32,3,1,732854,724426,123192,754953,742501,123074
33,3,1,696244,751243,212936,716721,774579,211887
34,3,1,764136,633981,277038,787393,647285,277407
35,3,1,755932,684567,366782,775712,700545,366505
36,3,1,699174,449331,7807,72086,444281,759
37,3,1,734908,512843,97551,762097,516121,96337
38,3,1,303756,248757,46269,293584,229065,47346
39,3,1,351772,236542,136013,349972,22059,136027
40,3,1,244068,315433,200115,232016,304156,201163
41,3,1,267146,275574,289859,259193,263096,289735
42,3,1,465969,709835,238577,467543,732466,238691
43,3,1,40427,665341,32832,398427,685067,327159
44,3,1,591598,760361,392423,599318,782562,392936
45,3,1,529645,742134,482166,529179,763965,48165
46,3,1,59573,334659,161654,613188,322504,16211
47,3,1,651865,388763,251397,674862,383646,250882
48,3,1,470355,257866,3155,476696,239962,316373
49,3,1,534031,290165,405243,543931,27459,405442
50,3,1,24301,424391,353961,22811,42237,353687
51,3,1,235864,366019,443705,21931,358527,442351
52,3,1,300826,550669,507807,27914,555719,50759
53,3,1,265092,487157,597551,237903,483879,596337
54,3,1,696244,751243,546269,706416,770935,547346
55,3,1,648228,763458,636013,650028,77941,636027
56,3,1,755932,684567,700115,767984,695844,701163
57,3,1,732854,724426,789859,740808,736904,789735
58,3,1,734908,512843,430884,76046,51884,432119
59,3,1,75699,575609,520628,777932,585297,520882
60,3,1,351772,236542,469346,345355,221578,469496
61,3,1,408402,239639,55909,40088,220949,558651
62,3,1,267146,275574,623192,245047,257499,623074
63,3,1,303756,248757,712936,283279,225421,711887
64,3,1,40427,665341,661654,386812,677496,66211
65,3,1,348135,611237,751397,325138,616354,750882
66,3,1,529645,742134,8155,523304,760038,816373
67,3,1,465969,709835,905243,456069,72541,905442
68,3,1,764136,633981,943705,78069,641473,942351
69,3,1,651865,388763,584731,662563,381101,585676
70,3,1,699174,449331,674474,712211,443425,674486
71,3,1,534031,290165,738577,532457,267534,738691
72,3,1,59573,334659,82832,601573,314933,827159
73,3,1,235864,366019,777038,212606,352715,777407
74,3,1,244068,315433,866782,224287,299455,866505
75,3,1,265092,487157,930884,23954,48116,932119
76,3,1,648228,763458,969346,654645,778422,969496
77,3,1,75699,575609,853961,77189,57763,853688
78,3,1,408402,239639,892423,400682,217438,892936
79,3,1,470355,257866,982166,470821,236035,98165
80,3,2,637257,791312,32917,636717,803969,32929
81,3,2,403783,690165,41689,393472,694676,41784
82,3,2,31966,608137,111865,30593,607015,112105
83,3,2,743096,760817,94321,753137,775437,94168
84,3,2,677708,788935,164496,682379,804355,164358
85,3,2,766249,735843,2259,777945,749432,225798
86,3,2,713311,778677,296075,720745,794402,296029
87,3,2,549619,276071,6602,555071,269279,6501
88,3,2,233751,264157,59233,219019,246063,59347
89,3,2,209389,3741,120637,19467,363701,120952
90,3,2,21786,295564,190812,205895,280628,191151
91,3,2,450381,723929,173268,445071,732091,173231
92,3,2,359809,651213,243444,348764,654129,243503
93,3,2,498332,751585,304847,495486,763508,304887
94,3,2,403783,690165,375023,39409,694968,375015
95,3,2,78214,704436,357479,797217,718068,357196
96,3,2,743096,760817,427654,754694,777448,427477
97,3,2,790335,667452,489058,807952,681054,489132
98,3,2,766249,735843,559233,780981,753937,559347
99,3,2,74492,485609,15373,75736,487774,15348
100,3,2,782959,580915,85549,795642,588879,85488
101,3,2,406938,214257,68005,402862,199315,67847
102,3,2,501668,248415,138181,505401,236223,137935
103,3,2,362743,208688,199584,358686,192911,199771
104,3,2,453671,227621,269759,458173,215511,269828
105,3,2,217041,419085,252216,204773,412301,252384
106,3,2,209665,332548,322391,198094,319888,322493
107,3,2,232411,466278,383795,219043,460817,383849
108,3,2,209389,3741,45397,196708,362862,454006
109,3,2,546329,772379,436426,546758,784127,436204
110,3,2,450381,723929,506602,444929,730721,506501
111,3,2,593062,785743,568005,597138,800685,567847
112,3,2,498332,751585,638181,494599,763777,637935
113,3,2,78214,704436,690812,794105,719372,691151
114,3,2,790335,667452,822391,801906,680112,822493
115,3,2,71557,437889,146952,72519,436767,146746
116,3,2,767589,533722,217128,781561,539864,216971
117,3,2,68034,391863,278531,693294,389132,27849
118,3,2,74492,485609,348707,763292,491718,348524
119,3,2,322292,211065,331163,318833,197217,331324
120,3,2,406938,214257,401338,411354,203804,401423
121,3,2,286689,221323,462742,280845,207219,462711
122,3,2,362743,208688,532917,363282,196031,532929
123,3,2,25508,514391,515373,242639,512226,515348
124,3,2,217041,419085,585549,204358,411121,585488
125,3,2,28443,562111,646952,27481,563233,646746
126,3,2,232411,466278,717128,218439,460136,716971
127,3,2,637257,791312,699584,641314,807089,699771
128,3,2,546329,772379,769759,541827,784489,769828
129,3,2,677708,788935,831163,681167,802783,831324
130,3,2,593062,785743,901338,588646,796196,901423
131,3,2,640191,348787,41011,653342,346247,410181
132,3,2,71557,437889,480286,732212,442763,480441
133,3,2,596217,309835,541689,606528,305324,541784
134,3,2,68034,391863,611865,69407,392986,612105
135,3,2,256904,239183,594321,246863,224563,594168
136,3,2,322292,211065,664496,317621,195645,664358
137,3,2,233751,264157,7259,222055,250569,725798
138,3,2,286689,221323,796075,279255,205597,796029
139,3,2,31966,608137,778531,306706,610868,77849
140,3,2,25508,514391,848707,236708,508282,848524
141,3,2,359809,651213,91011,346659,653753,910181
142,3,2,28443,562111,980286,267788,557237,980441
143,3,2,713311,778677,962742,719155,792781,962711
144,3,2,790611,6259,620637,805331,636299,620952
145,3,2,549619,276071,673268,554928,267909,673231
146,3,2,640191,348787,743444,651236,345871,743503
147,3,2,501668,248415,804847,504514,236492,804887
148,3,2,596217,309835,875023,60591,305032,875015
149,3,2,21786,295564,857479,202783,281932,857196
150,3,2,256904,239183,927654,245306,222552,927477
151,3,2,209665,332548,989058,192048,318946,989132
152,3,2,782959,580915,752216,795227,587699,752384
153,3,2,767589,533722,883795,780957,539183,883849
