Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2009-10,20.0,OKC,NBA,PF,73.0,1323.0,15.2,0.562,0.005,0.249,12.3,21.9,17.2,1.2,1.0,5.5,14.2,16.2,,1.3,2.4,3.7,0.134,,-2.4,0.9,-1.5,0.2
2010-11,21.0,OKC,NBA,PF,82.0,2216.0,17.7,0.579,0.002,0.298,11.7,20.8,16.4,1.6,0.7,6.5,9.2,15.7,,4.3,3.2,7.6,0.164,,-0.2,0.7,0.5,1.4
2011-12,22.0,OKC,NBA,PF,66.0,1792.0,19.0,0.556,0.006,0.241,13.2,18.2,15.9,2.5,1.0,9.8,12.7,15.7,,3.0,3.2,6.2,0.167,,0.1,2.3,2.3,1.9
2012-13,23.0,OKC,NBA,PF,80.0,2486.0,19.4,0.612,0.073,0.246,11.1,17.0,14.2,2.8,0.6,7.4,12.7,18.1,,5.3,4.1,9.4,0.181,,0.9,0.7,1.5,2.2
2013-14,24.0,OKC,NBA,PF,81.0,2666.0,19.6,0.576,0.061,0.203,10.0,19.6,15.0,5.2,0.7,6.7,10.3,19.8,,5.2,4.4,9.6,0.173,,1.1,0.6,1.7,2.5
2014-15,25.0,OKC,NBA,PF,64.0,2116.0,16.6,0.549,0.261,0.14,7.0,18.1,12.6,4.2,0.7,5.8,10.4,18.9,,2.9,2.7,5.6,0.127,,0.5,0.4,0.9,1.6
2015-16,26.0,OKC,NBA,PF,78.0,2500.0,13.9,0.533,0.212,0.139,6.5,16.2,11.6,3.9,0.8,4.5,10.5,17.6,,2.5,3.0,5.5,0.105,,-0.6,0.0,-0.6,0.8
2016-17,27.0,TOT,NBA,PF,79.0,2422.0,16.4,0.566,0.323,0.127,5.7,19.0,12.2,5.2,0.8,4.2,9.2,20.9,,2.5,2.6,5.1,0.101,,0.4,-0.3,0.1,1.2
2016-17,27.0,ORL,NBA,PF,56.0,1710.0,17.5,0.569,0.304,0.129,6.2,18.5,12.2,5.9,1.0,4.3,8.2,20.8,,2.1,1.7,3.8,0.108,,0.9,-0.2,0.7,1.2
2016-17,27.0,TOR,NBA,PF,23.0,712.0,13.8,0.556,0.369,0.122,4.6,20.1,12.4,3.3,0.5,4.0,11.7,20.9,,0.4,0.8,1.3,0.085,,-0.8,-0.6,-1.5,0.1
2017-18,28.0,TOR,NBA,PF,76.0,2093.0,14.7,0.574,0.379,0.151,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,,2.1,3.0,5.1,0.117,,-0.1,0.0,-0.1,1.0
2018-19,29.0,TOR,NBA,C,74.0,2010.0,18.7,0.582,0.193,0.202,8.6,23.2,16.1,7.7,0.7,4.3,10.7,22.9,,2.8,3.3,6.1,0.146,,0.2,0.1,0.2,1.2
2019-20,30.0,TOR,NBA,C,55.0,1485.0,17.3,0.583,0.272,0.185,8.3,23.5,16.1,8.6,0.9,3.0,13.1,24.0,,1.2,2.7,3.9,0.126,,0.1,0.0,0.1,0.8
2020-21,31.0,LAC,NBA,C,41.0,955.0,18.2,0.585,0.315,0.145,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,,1.7,1.3,3.0,0.15,,1.2,0.2,1.4,0.8
2021-22,32.0,TOT,NBA,C,54.0,877.0,14.4,0.579,0.334,0.149,7.7,22.2,15.1,8.4,0.6,3.3,12.0,17.8,,0.8,1.1,2.0,0.108,,-1.3,-0.2,-1.5,0.1
2021-22,32.0,LAC,NBA,C,35.0,538.0,14.9,0.567,0.323,0.151,8.1,21.0,14.8,10.2,0.6,4.1,13.9,19.4,,0.3,0.8,1.1,0.096,,-1.3,0.3,-1.0,0.1
2021-22,32.0,MIL,NBA,C,19.0,339.0,13.7,0.601,0.356,0.144,7.0,23.9,15.7,5.4,0.6,2.0,8.3,15.2,,0.5,0.4,0.9,0.128,,-1.4,-1.0,-2.4,0.0
Career,,,NBA,,903.0,24941.0,17.1,0.571,0.191,0.187,8.8,19.8,14.4,4.7,0.7,5.5,10.9,19.0,,35.7,37.0,72.8,0.14,,0.1,0.4,0.5,15.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,OKC,NBA,,524.0,15099.0,17.5,0.567,0.105,0.208,10.0,18.6,14.5,3.3,0.8,6.5,11.2,17.6,,24.5,23.1,47.6,0.151,,0.1,0.7,0.8,10.7
4 seasons,,TOR,NBA,,228.0,6300.0,16.5,0.577,0.288,0.174,6.6,22.2,14.6,6.3,0.7,3.8,11.1,21.8,,6.6,9.8,16.4,0.125,,-0.1,0.0,-0.1,3.1
2 seasons,,LAC,NBA,,76.0,1493.0,17.0,0.578,0.318,0.147,8.6,22.4,15.7,11.0,0.5,4.3,11.5,19.8,,2.0,2.0,4.1,0.13,,0.3,0.2,0.6,1.0
1 season,,ORL,NBA,,56.0,1710.0,17.5,0.569,0.304,0.129,6.2,18.5,12.2,5.9,1.0,4.3,8.2,20.8,,2.1,1.7,3.8,0.108,,0.9,-0.2,0.7,1.2
1 season,,MIL,NBA,,19.0,339.0,13.7,0.601,0.356,0.144,7.0,23.9,15.7,5.4,0.6,2.0,8.3,15.2,,0.5,0.4,0.9,0.128,,-1.4,-1.0,-2.4,0.0
